"titulo","texto","autor","fecha","reacciones"
"Announcing Angular v20","The past couple of years have been transformative for Angular, as we’ve unleashed major advancements like reactivity with Signals and the…","{""link"":""https://miro.medium.com/v2/resize:fill:40:40/1*PC5hsShK0vnUFfFVoWjMNg.jpeg"",""nombre"":""""}","2d agoA clap icon1.6KA response icon20","{""likes"":0,""comentarios"":0}"
"Build AI-Powered Apps With Genkit and Angular","There has never been a better time to start building with AI and the state-of-the-art models available to developers everywhere. Building…","{""link"":""https://miro.medium.com/v2/resize:fill:40:40/1*jlg3PXZ6PYdUGy40tXybKw.gif"",""nombre"":""""}","Mar 17A clap icon208A response icon6","{""likes"":0,""comentarios"":0}"
"Seamless data fetching with httpResource","Fantastic new APIs are coming to Angular. Two years ago, we proposed making Angular a reactive web framework powered by signals. Since…","{""link"":""https://miro.medium.com/v2/resize:fill:40:40/0*AlVzEVl10P09VRZx.jpg"",""nombre"":""""}","Mar 7A clap icon547A response icon8","{""likes"":0,""comentarios"":0}"
"Angular 19.2 Is Now Available","And we’re back with Angular’s latest minor release, version 19.2, bringing new APIs and experimental features to empower developers on…","{""link"":""https://miro.medium.com/v2/resize:fill:40:40/1*jlg3PXZ6PYdUGy40tXybKw.gif"",""nombre"":""""}","Mar 5A clap icon533A response icon12","{""likes"":0,""comentarios"":0}"
"Micro Frontends with Angular and Native Federation","Enterprise-scale software systems are often implemented by several cross-functional teams. To enable such teams to provide new features…","{""link"":""https://miro.medium.com/v2/resize:fill:40:40/0*ie_F70F4bb0alhdm"",""nombre"":""""}","Feb 10A clap icon617A response icon11","{""likes"":0,""comentarios"":0}"
"Angular 2025 Strategy","For the past two and a half years, we’ve been laser focused on improving developer experience and performance for all Angular developers…","{""link"":""https://miro.medium.com/v2/resize:fill:40:40/1*PC5hsShK0vnUFfFVoWjMNg.jpeg"",""nombre"":""""}","Jan 13A clap icon1.4KA response icon26","{""likes"":0,""comentarios"":0}"
"Try Out the New Signal Input Migrations","Authors: Paul Gschwendtner Mark Thompson","{""link"":""https://miro.medium.com/v2/resize:fill:40:40/1*jlg3PXZ6PYdUGy40tXybKw.gif"",""nombre"":""""}","Jan 9A clap icon355A response icon2","{""likes"":0,""comentarios"":0}"
"Meet Angular v19","In the past two years we doubled down on our investment in developer experience and performance — in every single release we’ve been…","{""link"":""https://miro.medium.com/v2/resize:fill:40:40/1*PC5hsShK0vnUFfFVoWjMNg.jpeg"",""nombre"":""""}","Nov 19, 2024A clap icon3.7KA response icon59","{""likes"":0,""comentarios"":0}"
"Angular v19 Release: Join the Watch Parties!","The Angular v19 release is just around the corner, and developers around the world are gearing up to celebrate.","{""link"":""https://miro.medium.com/v2/resize:fill:40:40/1*jlg3PXZ6PYdUGy40tXybKw.gif"",""nombre"":""""}","Nov 14, 2024A clap icon266A response icon3","{""likes"":0,""comentarios"":0}"
"Latest updates to effect() in Angular","Authors: Alex Rickabaugh Mark Thompson","{""link"":""https://miro.medium.com/v2/resize:fill:40:40/1*jlg3PXZ6PYdUGy40tXybKw.gif"",""nombre"":""""}","Oct 7, 2024A clap icon635A response icon1","{""likes"":0,""comentarios"":0}"
"The future is standalone!","Angular v19 will make standalone: true the default for components, directives, and pipes.","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*yNCBVxf7m7JX0QAJQBEEAA.jpeg"",""nombre"":""""}","Sep 3, 2024A clap icon1.4KA response icon9","{""likes"":0,""comentarios"":0}"
"Using isolatedModules in Angular 18.2","Authors: Mark Thompson Charles Lyding","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*jlg3PXZ6PYdUGy40tXybKw.gif"",""nombre"":""""}","Aug 19, 2024A clap icon573A response icon4","{""likes"":0,""comentarios"":0}"
"The Future of Material Support in Angular","Authors: Mark Thompson Jeremy Elbourn","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*jlg3PXZ6PYdUGy40tXybKw.gif"",""nombre"":""""}","Jul 19, 2024A clap icon625A response icon10","{""likes"":0,""comentarios"":0}"
"Immerse Yourself in Generative Art: An Angular WebXR Adventure","If you missed the Google I/O Angular session, you missed not only the latest updates on Angular but also the Generative Art Gallery demo…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*_OCcPkqMCGKIn1l0_1Eu2A.jpeg"",""nombre"":""""}","Jul 16, 2024A clap icon134A response icon2","{""likes"":0,""comentarios"":0}"
"Introducing @let in Angular","Authors: Mark Thompson, Kristiyan Kostadinov","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*jlg3PXZ6PYdUGy40tXybKw.gif"",""nombre"":""""}","Jul 10, 2024A clap icon1KA response icon18","{""likes"":0,""comentarios"":0}"
"Angular v18 is now available!","Today we are excited to share the next milestone in the evolution of Angular! Over the past three releases we’ve introduced a lot of new…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*PC5hsShK0vnUFfFVoWjMNg.jpeg"",""nombre"":""""}","May 22, 2024A clap icon5.3KA response icon36","{""likes"":0,""comentarios"":0}"
"Event Dispatch in Angular","Authors: Jatin Ramanathan, Tom Wilkinson","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*jlg3PXZ6PYdUGy40tXybKw.gif"",""nombre"":""""}","Apr 22, 2024A clap icon453A response icon4","{""likes"":0,""comentarios"":0}"
"Angular and Wiz Are Better Together","Authors: Jatin Ramanathan, Minko Gechev","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*jlg3PXZ6PYdUGy40tXybKw.gif"",""nombre"":""""}","Mar 29, 2024A clap icon1.5KA response icon13","{""likes"":0,""comentarios"":0}"
"Meet Angular’s new output() API","Angular v17.3 introduces the improved API for declaring outputs as a developer preview.","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*Tfro-yWzkmOgRGboztdEYA.jpeg"",""nombre"":""""}","Mar 27, 2024A clap icon778A response icon9","{""likes"":0,""comentarios"":0}"
"Angular with NativeScript: Creating the Blackout Lighting Console","Lighting consoles are electronic devices used in theatrical lighting design to control multiple stage lights at once. Traditionally…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*v1sQabUPZ9Yj5PWqrNf5_A.jpeg"",""nombre"":""""}","Mar 18, 2024A clap icon579A response icon2","{""likes"":0,""comentarios"":0}"
"Signal inputs available in developer preview","The new inputs provide developers with new ways that:","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*Tfro-yWzkmOgRGboztdEYA.jpeg"",""nombre"":""""}","Feb 22, 2024A clap icon789A response icon14","{""likes"":0,""comentarios"":0}"
"Angular v17.2 is now available","We rarely write blog posts about minor releases, but today we have a few surprises for you — experimental support for Material 3, signal…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*PC5hsShK0vnUFfFVoWjMNg.jpeg"",""nombre"":""""}","Feb 14, 2024A clap icon1.7KA response icon11","{""likes"":0,""comentarios"":0}"
"Material 3 Experimental Support in Angular 17.2","We’re thrilled to announce that Angular 17.2 features experimental support for Material 3 theming in Angular Material.","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*WgvQqqTBK_oTlTkIo8tsRQ.jpeg"",""nombre"":""""}","Feb 14, 2024A clap icon1.1KA response icon18","{""likes"":0,""comentarios"":0}"
"Angular Developer Survey 2023","Over the past year we’ve been evolving Angular based on developer feedback and community trends. We receive developer feedback from dozens…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*PC5hsShK0vnUFfFVoWjMNg.jpeg"",""nombre"":""""}","Jan 3, 2024A clap icon964A response icon10","{""likes"":0,""comentarios"":0}"
"Check out Angular’s support for the View Transitions API","When a user navigates from one route to another, the Angular Router maps the URL path to the relevant component and displays its view…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/0*280lqQqDAyswE-MC"",""nombre"":""""}","Dec 13, 2023A clap icon465A response icon1","{""likes"":0,""comentarios"":0}"
"Use Angular’s New Deferrable Views Now","The Angular community has asked for an intuitive, built-in method to lazy load components, directives, and pipes. In Angular v17, we’ve…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*xb7qMsAbmwzmFOEopp_K-Q.jpeg"",""nombre"":""""}","Dec 1, 2023A clap icon1KA response icon6","{""likes"":0,""comentarios"":0}"
"Introducing Angular v17","Last month marked the 13th anniversary of Angular’s red shield. AngularJS was the starting point for a new wave of JavaScript frameworks…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*PC5hsShK0vnUFfFVoWjMNg.jpeg"",""nombre"":""""}","Nov 8, 2023A clap icon5.1KA response icon51","{""likes"":0,""comentarios"":0}"
"Announcing Angular.dev","Today, we are excited to launch Angular.dev — the future home for Angular developers.","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/0*lw25USWxDjT-i0kV"",""nombre"":""""}","Nov 6, 2023A clap icon2.5KA response icon22","{""likes"":0,""comentarios"":0}"
"Some big things are happening next week on November 6th 🎉","We’ve been hard at work on some very special updates to Angular. You don’t want to miss what we have planned.","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*2hqK0rVXWghtk_RLFx33oA.jpeg"",""nombre"":""""}","Nov 3, 2023A clap icon261A response icon2","{""likes"":0,""comentarios"":0}"
"Meet Angular’s New Control Flow","This November, we’ll release Angular version 17 with a number of new template features, including a new built-in syntax for control flow…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*yNCBVxf7m7JX0QAJQBEEAA.jpeg"",""nombre"":""""}","Sep 25, 2023A clap icon1.4KA response icon33","{""likes"":0,""comentarios"":0}"
"Incremental Static Regeneration for Angular","In Angular v16 we got a new hydration system. It was also hinted that experiments for partial hydration and resumability are in the works…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*LFs2zwHSvvAuJzTH2I3FIQ.jpeg"",""nombre"":""""}","Sep 14, 2023A clap icon694A response icon3","{""likes"":0,""comentarios"":0}"
"New free, interactive Angular course for beginners on Sololearn","We are delighted to announce that we’ve collaborated with the online interactive code learning platform Sololearn to develop an…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*2hqK0rVXWghtk_RLFx33oA.jpeg"",""nombre"":""""}","Sep 7, 2023A clap icon417A response icon4","{""likes"":0,""comentarios"":0}"
"Protractor Deprecation Update August 2023","TLDR;","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*2hqK0rVXWghtk_RLFx33oA.jpeg"",""nombre"":""""}","Aug 28, 2023A clap icon123A response icon2","{""likes"":0,""comentarios"":0}"
"Notice of XSS issue affecting Angular Universal 16.1.0–16.1.1","We just released a fix for a bug that could potentially cause an XSS vulnerability in the Critters library that Angular uses for CSS…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/0*lw25USWxDjT-i0kV"",""nombre"":""""}","Aug 4, 2023A clap icon137","{""likes"":0,""comentarios"":0}"
"Angular at Google I/O 2023","Google I/O 2023’s flagship event happened last month, and Angular had a ton of fun announcing Angular v16!","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/0*lw25USWxDjT-i0kV"",""nombre"":""""}","Jun 6, 2023A clap icon311A response icon2","{""likes"":0,""comentarios"":0}"
"Angular Developer Survey 2022 Results Summary","The Angular team is evidence driven — we collect feedback from developers to decide what should be part of our roadmap. We get data from…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*PC5hsShK0vnUFfFVoWjMNg.jpeg"",""nombre"":""""}","May 23, 2023A clap icon742A response icon9","{""likes"":0,""comentarios"":0}"
"Angular v16 is here!","Six months ago, we reached a significant milestone in Angular’s simplicity and developer experience by graduating the standalone APIs from…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*PC5hsShK0vnUFfFVoWjMNg.jpeg"",""nombre"":""""}","May 3, 2023A clap icon5.8KA response icon38","{""likes"":0,""comentarios"":0}"
"Moving Angular CLI to Jest and Web Test Runner","We are excited to announce that we are adding initial experimental support for Jest, with Web Test Runner support coming in the future.","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*9jpxZxy-bhSS_VDhkVnWXQ.jpeg"",""nombre"":""""}","Apr 27, 2023A clap icon465A response icon8","{""likes"":0,""comentarios"":0}"
"What’s next for Server Side Rendering in Angular","In May of 2022, we shared Angular’s vision for the future, where we committed to investing in server side rendering and hydration. Angular…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*xb7qMsAbmwzmFOEopp_K-Q.jpeg"",""nombre"":""""}","Apr 17, 2023A clap icon745A response icon7","{""likes"":0,""comentarios"":0}"
"Write better tests without Router mocks/stubs","Prior advice","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/0*280lqQqDAyswE-MC"",""nombre"":""""}","Mar 2, 2023A clap icon285A response icon1","{""likes"":0,""comentarios"":0}"
"Angular v15 is now available!","Over the past year we removed Angular’s legacy compiler and rendering pipeline which enabled the development of a series of developer…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*PC5hsShK0vnUFfFVoWjMNg.jpeg"",""nombre"":""""}","Nov 16, 2022A clap icon4.4KA response icon37","{""likes"":0,""comentarios"":0}"
"Advancements in the Angular Router","The Angular team has been busy making some meaningful updates to the Angular router that are available as of Angular v14.2. We’re pleased…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/0*280lqQqDAyswE-MC"",""nombre"":""""}","Oct 25, 2022A clap icon729A response icon4","{""likes"":0,""comentarios"":0}"
"Modern CSS in Angular: Layouts","This week, we tackle layouts.","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/0*lw25USWxDjT-i0kV"",""nombre"":""""}","Oct 18, 2022A clap icon989A response icon34","{""likes"":0,""comentarios"":0}"
"The State of end-to-end testing with Angular","In the Angular v12 release blog post we announced plans to investigate the future of Protractor.","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*2hqK0rVXWghtk_RLFx33oA.jpeg"",""nombre"":""""}","Aug 10, 2022A clap icon537A response icon10","{""likes"":0,""comentarios"":0}"
"Angular v14 is now available!","We are excited to announce the release of Angular v14! From typed forms and standalone components to new primitives in the Angular CDK…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/0*lw25USWxDjT-i0kV"",""nombre"":""""}","Jun 2, 2022A clap icon2.6KA response icon23","{""likes"":0,""comentarios"":0}"
"Angular’s Vision for the Future","In the Angular 2021 recap and 2022 preview post, we shared our plans for 2022. As we are almost midway through 2022, this is a great time…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*HELihQhqNYhyoTkZtxNSvg.png"",""nombre"":""""}","May 24, 2022A clap icon1KA response icon9","{""likes"":0,""comentarios"":0}"
"Angular at I/O 2022","At I/O 2021 we had a blast announcing Angular DevTools and letting you use it in the Adventure world! We talked to hundreds of developers…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*PC5hsShK0vnUFfFVoWjMNg.jpeg"",""nombre"":""""}","Apr 29, 2022A clap icon449A response icon2","{""likes"":0,""comentarios"":0}"
"Developer Survey 2021 Results","Earlier this year, we ran our annual developer survey. We received nearly 25k responses and want to thank each and everyone of you for…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*PC5hsShK0vnUFfFVoWjMNg.jpeg"",""nombre"":""""}","Apr 13, 2022A clap icon669A response icon8","{""likes"":0,""comentarios"":0}"
"An Update on Standalone Components","(and directives and pipes!)","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*yNCBVxf7m7JX0QAJQBEEAA.jpeg"",""nombre"":""""}","Apr 6, 2022A clap icon653A response icon6","{""likes"":0,""comentarios"":0}"
"Angular Extended Diagnostics","A deep-dive into Angular 13.2’s new extended diagnostics feature, what they are, how they work, and their future in the Angular ecosystem.","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*9jpxZxy-bhSS_VDhkVnWXQ.jpeg"",""nombre"":""""}","Mar 9, 2022A clap icon141A response icon3","{""likes"":0,""comentarios"":0}"
"How the Angular Compiler Works","The Angular Compiler (which we call ngc) is the tool used to compile Angular applications and libraries. ngc is built on the TypeScript…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*yNCBVxf7m7JX0QAJQBEEAA.jpeg"",""nombre"":""""}","Feb 9, 2022A clap icon1.1KA response icon8","{""likes"":0,""comentarios"":0}"
"Angular 2021 Recap and 2022 Preview","Happy New Year! 2021 was a difficult year for everyone around the globe but as a community we’ve managed to stick together and continue to…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*2hqK0rVXWghtk_RLFx33oA.jpeg"",""nombre"":""""}","Jan 20, 2022A clap icon448A response icon2","{""likes"":0,""comentarios"":0}"
"Typed Forms: The RFC Is Here","For five years, strong types in the Forms package have been a top feature request. Issue (#13721) is the most popular issue of all time on…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*ZcytItc1C2QVQxsTWdMkrg.jpeg"",""nombre"":""""}","Jan 13, 2022A clap icon533A response icon3","{""likes"":0,""comentarios"":0}"
"Discontinued Long Term Support for AngularJS","In January of 2018 we laid out our plans for the final releases of AngularJS before entering long-term support and last year, we extended…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*2hqK0rVXWghtk_RLFx33oA.jpeg"",""nombre"":""""}","Jan 11, 2022A clap icon735A response icon6","{""likes"":0,""comentarios"":0}"
"Thank you, Angular","","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*4261814mL-tv2a81kIcl5w.png"",""nombre"":""""}","Nov 30, 2021A clap icon1.97KA response icon15","{""likes"":0,""comentarios"":0}"
"The [New] State of CSS in Angular","It’s been a few years since we last covered CSS on this blog — and a lot has happened since then!","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/0*lw25USWxDjT-i0kV"",""nombre"":""""}","Nov 16, 2021A clap icon1.8KA response icon2","{""likes"":0,""comentarios"":0}"
"Angular v13 is now Available","We’re back with the brand new release of Angular v13 to share with all of you! This latest release brings all sorts of updates and features…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*2hqK0rVXWghtk_RLFx33oA.jpeg"",""nombre"":""""}","Nov 3, 2021A clap icon3.7KA response icon22","{""likes"":0,""comentarios"":0}"
"Improving Angular Component’s accessibility","The outcome is better, more accessible components…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/0*lw25USWxDjT-i0kV"",""nombre"":""""}","Oct 27, 2021A clap icon456A response icon3","{""likes"":0,""comentarios"":0}"
"Build more accessible Angular apps","During #GoogleIO2021, we released a new Angular codelab focused on accessibility. In this post we’ll walk through ten tools for building…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/0*lw25USWxDjT-i0kV"",""nombre"":""""}","Jun 9, 2021A clap icon680A response icon7","{""likes"":0,""comentarios"":0}"
"New Feature Request Process","Among the most significant advantages of working on a popular open codebase is the constant feedback stream in all forms, including GitHub…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*PC5hsShK0vnUFfFVoWjMNg.jpeg"",""nombre"":""""}","May 27, 2021A clap icon673A response icon9","{""likes"":0,""comentarios"":0}"
"Introducing Angular DevTools","We’re thrilled to announce Angular DevTools — a Chrome DevTools extension that you can use to inspect the structure of your applications…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*PC5hsShK0vnUFfFVoWjMNg.jpeg"",""nombre"":""""}","May 18, 2021A clap icon3.2KA response icon22","{""likes"":0,""comentarios"":0}"
"Angular v12 is now available","It’s that time again, friends — we’re back with a new release and we can’t wait to share all the great updates and features waiting for…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*2hqK0rVXWghtk_RLFx33oA.jpeg"",""nombre"":""""}","May 12, 2021A clap icon5.2KA response icon30","{""likes"":0,""comentarios"":0}"
"Upcoming improvements to Angular library distribution","TLDR; In v12, we’ll deprecate our legacy compilation and rendering pipeline called View Engine. This change will not require any action by…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*PC5hsShK0vnUFfFVoWjMNg.jpeg"",""nombre"":""""}","Apr 23, 2021A clap icon886A response icon1","{""likes"":0,""comentarios"":0}"
"Nishu Goel: The journey to GDE","#WomenAreExperts is a series that features their stories and achievements, with an aim to inspire more women to follow their path.","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/0*lw25USWxDjT-i0kV"",""nombre"":""""}","Mar 26, 2021A clap icon252A response icon2","{""likes"":0,""comentarios"":0}"
"Alyssa Nicoll: A love story — The Web & I","#WomenAreExperts is a series that features their stories and achievements, with an aim to inspire more women to follow their path.","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/0*lw25USWxDjT-i0kV"",""nombre"":""""}","Mar 19, 2021A clap icon264A response icon2","{""likes"":0,""comentarios"":0}"
"Natalia Venditto: Architecting a career in Angular","#WomenAreExperts is a series that features their stories and achievements, with an aim to inspire more women to follow their path.","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/0*lw25USWxDjT-i0kV"",""nombre"":""""}","Mar 12, 2021A clap icon272A response icon2","{""likes"":0,""comentarios"":0}"
"Tracy Lee: The superpower of becoming an Expert","#WomenAreExperts is a series that features their stories and achievements, with an aim to inspire more women to follow their path.","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/0*lw25USWxDjT-i0kV"",""nombre"":""""}","Mar 5, 2021A clap icon432","{""likes"":0,""comentarios"":0}"
"Ivy’s internal data structures","I thought it would be useful to dive into Angular’s new Ivy rendering engine’s inner workings. In this article, I would like to stay high…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*Ay3pTMoAdPslK60kNCbBhg.png"",""nombre"":""""}","Mar 3, 2021A clap icon1.2KA response icon9","{""likes"":0,""comentarios"":0}"
"With Best Practices from the Start","One of the highest priorities for Angular is to enable best practices from the start. We want you to feel comfortable building a large…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*PC5hsShK0vnUFfFVoWjMNg.jpeg"",""nombre"":""""}","Feb 18, 2021A clap icon1.5KA response icon8","{""likes"":0,""comentarios"":0}"
"Under the Hood of the Language Service","State of the Language Service","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*yNCBVxf7m7JX0QAJQBEEAA.jpeg"",""nombre"":""""}","Feb 4, 2021A clap icon561A response icon5","{""likes"":0,""comentarios"":0}"
"Finding a Path Forward with AngularJs","In January of 2018 we laid out our plans for the final releases of AngularJS before entering long term support. Then in July 2020 we…","{""link"":""https://miro.medium.com/v2/resize:fill:20:20/1*2hqK0rVXWghtk_RLFx33oA.jpeg"",""nombre"":""""}","Feb 1, 2021A clap icon223A response icon3","{""likes"":0,""comentarios"":0}"
